customer_id,adopted_new_product
C15895-353750,1
C960-721665,1
C54986-361290,1
C6365-358004,0
C37294-35910,1
C87598-78690,0
C44231-954122,1
C41190-54303,0
C67321-300225,0
C869-535255,1
C65025-286796,1
C83204-140224,1
C53807-743818,0
C85405-167795,1
C28793-201988,0
C72032-470110,0
C93116-309980,1
C84578-583616,0
C2847-45334,0
C59250-948344,1
C65825-796031,0
C84754-917823,0
C35873-707339,0
C67535-926652,1
C56986-703010,1
C11494-662128,0
C69192-883227,0
C41706-445672,0
C96376-241663,1
C87413-646849,1
C43101-850610,0
C76652-830473,0
C23583-472940,0
C48655-36846,1
C17259-700776,1
C92167-673040,1
C67221-737979,0
C19557-331204,1
C66657-807804,1
C77289-739082,0
C53095-147269,1
C72509-514874,0
C71311-97131,0
C32706-881137,1
C11634-55103,0
C94763-489419,0
C91487-120940,1
C1116-372458,1
C89912-39642,1
C23347-953607,0
C74165-958286,1
C82898-185013,1
C9368-456109,0
C86907-616676,0
C12285-747340,0
C63804-333955,1
C86879-996915,0
C38144-806263,1
C51314-48361,0
C61328-960015,1
C49084-244858,1
C40874-29743,0
C2668-19103,0
C62692-316011,0
C67663-963369,0
C2795-115802,1
C48290-646934,0
C5358-353134,0
C87638-582718,1
C39604-735934,1
C33259-80179,0
C14086-861471,0
C61958-141757,0
C12766-942215,1
C38760-923011,1
C3661-263041,0
C26954-917964,1
C64605-321576,0
C22762-696939,0
C8492-810229,1
C30635-918819,1
C78703-784936,0
C52356-408135,1
C89235-698187,0
C35322-621591,0
C77473-951253,0
C79675-357665,0
C84751-901988,0
C63435-225131,1
C11065-671613,1
C24638-154661,0
C70692-15568,0
C79409-394265,0
C27366-197035,0
C53092-451604,0
C83048-247137,0
C7010-82271,0
C91082-749176,0
C87154-488984,0
C87997-276718,1
C23519-997113,0
C50736-665560,0
C54368-932876,0
C18241-324724,0
C80456-77084,1
C72010-467829,0
C33927-631924,1
C62723-927925,0
C75550-116687,0
C22399-552669,0
C43685-977189,1
C64144-198959,0
C49180-446386,0
C2793-371264,0
C95103-483651,0
C95359-636736,1
C49025-766301,1
C43041-910395,1
C21934-706192,0
C75866-654460,0
C15807-569039,1
C23876-412963,0
C30180-541490,0
C61473-148978,0
C6876-708827,1
C9574-875098,0
C58153-682201,0
C94956-27097,0
C3848-735832,1
C98198-358451,1
C13645-585735,0
C66299-222018,0
C34866-937256,0
C73630-977411,0
C93657-462679,0
C61187-493673,0
C95939-884305,1
C68940-517673,0
C54484-162427,0
C46676-656576,0
C62103-769270,0
C52833-315838,0
C89574-97109,0
C23764-247958,0
C67272-483651,1
C85716-697104,1
C93364-364114,1
C90184-995462,0
C38723-108799,1
C55780-155099,0
C46817-269556,0
C50959-384682,0
C26409-33348,0
C87555-895578,1
C63834-777007,0
C37257-133537,0
C65833-333625,0
C89145-110635,1
C34798-433487,1
C80723-346115,0
C25284-755489,1
C93484-312640,0
C42207-760379,1
C51763-167606,1
C49911-176368,0
C2911-304591,1
C56350-860824,0
C72182-429042,0
C34854-395307,0
C95842-452729,0
C67370-938786,0
C83979-105724,0
C71395-89219,1
C88714-237060,0
C11211-344277,0
C37604-274251,1
C1902-719177,1
C8255-289507,0
C73756-418716,0
C39484-822392,1
C22018-660012,0
C86081-419724,1
C60813-718079,0
C30406-138783,1
C16746-987616,1
C90835-287397,0
C16471-869070,0
C77471-317201,1
C2149-260071,0
C21032-404704,1
C29955-946539,1
C61534-459283,0
C72794-985782,1
C43116-492709,0
C42742-706046,1
C15251-368778,0
C66790-517291,1
C4599-750443,1
C6395-898541,1
C12283-952606,0
C12974-890309,0
C32811-676062,0
C53451-762385,0
C61367-848495,1
C48454-638564,0
C2657-260042,0
C38460-379061,0
C82118-31714,0
C2300-749059,0
C68597-278057,1
C47075-699034,1
C21457-554594,1
C77605-654352,0
C2969-958144,0
C61235-492245,1
C50208-744952,0
C94279-929831,1
C38567-729318,0
C23428-289921,0
C58971-845595,0
C22499-863916,0
C46314-550900,1
C99622-57235,0
C70371-742208,0
C44164-589989,1
C70191-53451,1
C40918-611630,0
C45625-194325,0
C19930-350677,1
C17529-565140,1
C6993-868632,0
C80009-914097,0
C47433-730695,0
C76313-956405,0
C30846-861355,0
C49477-192565,1
C48504-500416,1
C54145-924898,0
C97988-33166,1
C39890-298639,0
C5700-851468,1
C93279-544031,1
C40864-899682,0
C74643-394980,1
C56935-519046,1
C73844-196310,0
C56591-463011,1
C18689-125131,0
C83089-282860,0
C36312-721320,1
C47302-436596,0
C32735-310705,0
C18811-63197,0
C3520-282944,0
C96852-801260,0
C45336-464439,1
C54340-121726,0
C10592-54164,0
C85414-143560,1
C26741-248189,0
C34684-216783,0
C32845-241193,0
C23193-696093,0
C66205-901786,0
C51985-557992,1
C36731-580546,1
C73091-315062,1
C4114-788807,1
C18170-444445,1
C35877-365719,0
C10829-863207,1
C66420-234602,1
C27851-777594,0
C78169-714700,1
C54848-842464,0
C5901-858108,0
C19290-895474,1
C49789-163886,1
C51093-628141,0
C29692-939375,0
C88991-230301,1
C87645-201362,1
C90012-553796,1
C70416-166523,1
C77675-734266,1
C6755-356562,0
C70131-208146,1
C76529-44502,0
C55866-742011,1
C13503-947466,0
C78757-83568,0
C93948-402078,1
C53021-762934,0
C22777-179448,1
C96925-690995,0
C56761-522556,0
C31124-250347,1
C70413-566260,0
C95385-438690,0
C92872-483812,1
C80235-385859,1
C19608-852773,1
C3151-626222,0
C87242-612455,1
C87335-272245,0
C66512-285486,0
C58435-402711,1
C56279-346484,1
C32193-678822,1
C80838-310555,0
C39834-34047,0
C73623-455549,0
C17119-942392,1
C83713-444858,0
C91894-505738,1
